Pipeline name,Cloned Pipeline name,Table Names,Table Type,Workspace path,Workspace cloned path,Status
KCD_3PD_DATAAXLE_GLAD_LYTICS_UPLOAD_ONETIME,,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
KCD_3PD_DATAAXLE_GLAD_LYTICS_UPLOAD_ONETIME,,kcd.3pd_enrichment_data,External Table ,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,
KCD_3PD_DATAAXLE_HVR_LYTICS_UPLOAD_ONETIME,,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
KCD_3PD_DATAAXLE_HVR_LYTICS_UPLOAD_ONETIME,,kcd.3pd_enrichment_data,External Table ,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,
KCD_3PD_DATAAXLE_KINGSFORD_LYTICS_UPLOAD_ONETIME,,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
KCD_3PD_DATAAXLE_KINGSFORD_LYTICS_UPLOAD_ONETIME,,kcd.3pd_enrichment_data,External Table ,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,
KCD_3PD_DATAAXLE_PAWPOINTS_LYTICS_UPLOAD_ONETIME,,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
KCD_3PD_DATAAXLE_PAWPOINTS_LYTICS_UPLOAD_ONETIME,,kcd.3pd_enrichment_data,External Table ,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,
KCD_3PD_DATAAXLE_PINE_SOL_LYTICS_UPLOAD_ONETIME,,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
KCD_3PD_DATAAXLE_PINE_SOL_LYTICS_UPLOAD_ONETIME,,kcd.3pd_enrichment_data,External Table ,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,
